ruc,empresa,establecimiento,giro,resolucion,codigo_sala,vigencia,maq,memoria,mesas,direccion,distrito,provincia,departamento,direccion_original,direccion_normalizada,direccion_variantes
20510626479,IMPORT & EXPORT GOLDEN S.A.C.,GOLDEN COIN,,5847 - 2025,120420001,2029-08-19,105.0,304.0,,Av. AGUSTIN DE LA ROSA TORO No. 1045,SAN LUIS,LIMA,LIMA,Av. AGUSTIN DE LA ROSA TORO No. 1045,AVENIDA. AGUSTIN DE LA ROSA TORO NO. 1045,"[""AVENIDA. AGUSTIN DE LA ROSA TORO NO. 1045"", ""AVENIDA. AGUSTIN DE LA ROSA TORO NO. 1045, SAN LUIS""]"
20609560721,INTERESTELAR ASOCIADOS SEAS S.A.C.,EL PALATINO,REST. 5TT,002642,132514001,2028-06-26,49.0,212.0,,Calle SAN VICENTE No. 126,SAN VICENTE DE CAÑETE,CAÑETE,LIMA,Calle SAN VICENTE No. 126,CALLE SAN VICENTE NO. 126,"[""CALLE SAN VICENTE NO. 126"", ""CALLE SAN VICENTE NO. 126, SAN VICENTE DE CAÑETE""]"
20608690868,INTERGAMING PERU S.A.C.,CLEOPATRA,REST. 5TT,6968 - 2024,112485003,2030-03-26,76.0,181.0,,Av. PROCERES DE LA INDEPENDENCIA No. 5240,SAN JUAN DE LURIGANCHO,LIMA,LIMA,Av. PROCERES DE LA INDEPENDENCIA No. 5240,AVENIDA. PROCERES DE LA INDEPENDENCIA NO. 5240,"[""AVENIDA. PROCERES DE LA INDEPENDENCIA NO. 5240"", ""AVENIDA. PROCERES DE LA INDEPENDENCIA NO. 5240, SAN JUAN DE LURIGANCHO""]"
20608690868,INTERGAMING PERU S.A.C.,LA VICTORIA,,000109-2024,142485002,2029-01-13,86.0,242.0,,Av. MANCO CÁPAC No. 591,LA VICTORIA,LIMA,LIMA,Av. MANCO CÁPAC No. 591,AVENIDA. MANCO CÁPAC NO. 591,"[""AVENIDA. MANCO CÁPAC NO. 591"", ""AVENIDA. MANCO CÁPAC NO. 591, LA VICTORIA""]"
20608690868,INTERGAMING PERU S.A.C.,MIDAS,,004154,132485001,2027-12-29,79.0,207.0,,Av. JULIO C. TELLO No. 187 y Av. REVOLUCION No. 1403,COMAS,LIMA,LIMA,Av. JULIO C. TELLO No. 187 y Av. REVOLUCION No. 1403,AVENIDA. JULIO C. TELLO NO. 187 Y AVENIDA. REVOLUCION NO. 1403,"[""AVENIDA. JULIO C. TELLO NO. 187 Y AVENIDA. REVOLUCION NO. 1403"", ""AVENIDA. JULIO C. TELLO NO. 187 Y AVENIDA. REVOLUCION NO. 1403, COMAS""]"
20463564621,INTERSTATE GAMING DEL PERU S.A.,MACAO,HOTEL ****,4043 - 2026,110141001,2030-06-05,345.0,959.0,,Av. SAN MARTIN No. 562,TACNA,TACNA,TACNA,Av. SAN MARTIN No. 562,AVENIDA. SAN MARTIN NO. 562,"[""AVENIDA. SAN MARTIN NO. 562"", ""AVENIDA. SAN MARTIN NO. 562, TACNA""]"
20522110699,INVERGESS S.R.L.,ATLANTIS I,,6632 - 2025,142644001,2030-09-19,144.0,460.0,,Av. JOSÉ DE LA RIBA AGÜERO No. 1434,EL AGUSTINO,LIMA,LIMA,Av. JOSÉ DE LA RIBA AGÜERO No. 1434,AVENIDA. JOSÉ DE LA RIBA AGÜERO NO. 1434,"[""AVENIDA. JOSÉ DE LA RIBA AGÜERO NO. 1434"", ""AVENIDA. JOSÉ DE LA RIBA AGÜERO NO. 1434, EL AGUSTINO""]"
20522110699,INVERGESS S.R.L.,RIVAAGUERO I I,REST. 5TT,7174 - 2025,132644002,2030-10-02,59.0,186.0,,Av. JOSE DE LA RIVA AGUERO No. 1302 - 1304,EL AGUSTINO,LIMA,LIMA,Av. JOSE DE LA RIVA AGUERO No. 1302 - 1304,"AVENIDA. JOSE DE LA RIVA AGUERO NO. 1302, 1304","[""AVENIDA. JOSE DE LA RIVA AGUERO NO. 1302, 1304"", ""AVENIDA. JOSE DE LA RIVA AGUERO NO. 1302, 1304, EL AGUSTINO""]"
20602149138,INVERSIONES ADRIAC S.A.C.,EL ARABE,,000139,142157005,2027-10-09,35.0,76.0,,Av. TUPAC AMARU MZ. O Lt. 12 y Av. TUPAC AMARU No. 3181 - 3183,CARABAYLLO,LIMA,LIMA,Av. TUPAC AMARU MZ. O Lt. 12 y Av. TUPAC AMARU No. 3181 - 3183,"AVENIDA. TUPAC AMARU MZ. O LT. 12 Y AVENIDA. TUPAC AMARU NO. 3181, 3183","[""AVENIDA. TUPAC AMARU MZ. O LT. 12 Y AVENIDA. TUPAC AMARU NO. 3181, 3183"", ""AVENIDA. TUPAC AMARU MZ. O LT. 12 Y AVENIDA. TUPAC AMARU NO. 3181, 3183, CARABAYLLO""]"
20602149138,INVERSIONES ADRIAC S.A.C.,MAGIC PALACE,,000514,142157002,2027-10-04,32.0,88.0,,Av. SAENZ PEÑA No. 815,CALLAO,PROV. CONST. DEL CALLAO,CALLAO,Av. SAENZ PEÑA No. 815,AVENIDA. SAENZ PEÑA NO. 815,"[""AVENIDA. SAENZ PEÑA NO. 815"", ""AVENIDA. SAENZ PEÑA NO. 815, CALLAO""]"
20602149138,INVERSIONES ADRIAC S.A.C.,MONEY CITY,,003862-2023,142157006,2027-09-06,16.0,67.0,,Av. MEXICO No. 1500,LA VICTORIA,LIMA,LIMA,Av. MEXICO No. 1500,AVENIDA. MEXICO NO. 1500,"[""AVENIDA. MEXICO NO. 1500"", ""AVENIDA. MEXICO NO. 1500, LA VICTORIA""]"
20602149138,INVERSIONES ADRIAC S.A.C.,NEL BLU,,003672-2023,142157007,2027-08-29,42.0,125.0,,Av. TUPAC AMARU No. 5997,COMAS,LIMA,LIMA,Av. TUPAC AMARU No. 5997,AVENIDA. TUPAC AMARU NO. 5997,"[""AVENIDA. TUPAC AMARU NO. 5997"", ""AVENIDA. TUPAC AMARU NO. 5997, COMAS""]"
20602149138,INVERSIONES ADRIAC S.A.C.,REAL CHAVIN,,001717-2023,142157003,2027-09-26,38.0,144.0,,Av. HEROES DEL CENEPA MZ.13 Lt. 1,SAN JUAN DE LURIGANCHO,LIMA,LIMA,Av. HEROES DEL CENEPA MZ.13 Lt. 1,AVENIDA. HEROES DEL CENEPA MZ13 LT. 1,"[""AVENIDA. HEROES DEL CENEPA MZ13 LT. 1"", ""AVENIDA. HEROES DEL CENEPA MZ13 LT. 1, SAN JUAN DE LURIGANCHO""]"
20602149138,INVERSIONES ADRIAC S.A.C.,REAL SIPAN,,001762-2023,142157008,2027-05-05,69.0,213.0,,Av. GRAN CHIMÚ No. 362,SAN JUAN DE LURIGANCHO,LIMA,LIMA,Av. GRAN CHIMÚ No. 362,AVENIDA. GRAN CHIMÚ NO. 362,"[""AVENIDA. GRAN CHIMÚ NO. 362"", ""AVENIDA. GRAN CHIMÚ NO. 362, SAN JUAN DE LURIGANCHO""]"
20498371354,INVERSIONES AMERICA S.A.C.,CANCUN,REST. 5TT,4040,110332001,2026-12-22,99.0,250.0,,Otro Mz. F 3,JOSÉ LUIS BUSTAMANTE Y RIVERO,AREQUIPA,AREQUIPA,Otro Mz. F 3,MZ. F 3,"[""MZ. F 3"", ""MZ. F 3, JOSÉ LUIS BUSTAMANTE Y RIVERO""]"
20498371354,INVERSIONES AMERICA S.A.C.,DUBAI,REST. 5TT,298 - 2025,110332003,2029-01-16,58.0,138.0,,Otro MZ. D SECCION 3 Lt. 1,JOSÉ LUIS BUSTAMANTE Y RIVERO,AREQUIPA,AREQUIPA,Otro MZ. D SECCION 3 Lt. 1,MZ. D SECCION 3 LT. 1,"[""MZ. D SECCION 3 LT. 1"", ""MZ. D SECCION 3 LT. 1, JOSÉ LUIS BUSTAMANTE Y RIVERO""]"
20515529625,INVERSIONES ANCASH S.A.C.,MANHATTAN,REST. 5TT,9008 - 2025,112306001,2029-11-26,43.0,81.0,,Av. CARLOS IZAGUIRRE MZ. B. LT. 2 Mz. B,SAN MARTÍN DE PORRES,LIMA,LIMA,Av. CARLOS IZAGUIRRE MZ. B. LT. 2 Mz. B,AVENIDA. CARLOS IZAGUIRRE MZ. B. LT. 2 MZ. B,"[""AVENIDA. CARLOS IZAGUIRRE MZ. B. LT. 2 MZ. B"", ""AVENIDA. CARLOS IZAGUIRRE MZ. B. LT. 2 MZ. B, SAN MARTÍN DE PORRES""]"
20486353181,INVERSIONES ANDEAN DEL CENTRO S.A.C.,WIN HOUSE,,003236,120756004,2026-10-24,63.0,177.0,,Jr. ALMIRANTE GUISSE No. 1500,LINCE,LIMA,LIMA,Jr. ALMIRANTE GUISSE No. 1500,JIRON. ALMIRANTE GUISSE NO. 1500,"[""JIRON. ALMIRANTE GUISSE NO. 1500"", ""JIRON. ALMIRANTE GUISSE NO. 1500, LINCE""]"
20486353181,INVERSIONES ANDEAN DEL CENTRO S.A.C.,WIN´S,,002024-2023,120756001,2027-05-20,82.0,253.0,,Av. MEXICO No. 630 - 642,LA VICTORIA,LIMA,LIMA,Av. MEXICO No. 630 - 642,"AVENIDA. MEXICO NO. 630, 642","[""AVENIDA. MEXICO NO. 630, 642"", ""AVENIDA. MEXICO NO. 630, 642, LA VICTORIA""]"
20452721172,INVERSIONES ARMEL S.A.C.,FORTUNA,,3086,120578001,2027-07-18,30.0,171.0,,"SAENZ PEÑA, MZ. R LT. 7 BARRIO CERCADO Mz. 108 - 110 - 112 - 114",HUANTA,HUANTA,AYACUCHO,"SAENZ PEÑA, MZ. R LT. 7 BARRIO CERCADO Mz. 108 - 110 - 112 - 114","SAENZ PEÑA, MZ. R LT. 7 BARRIO CERCADO MZ. 108, 110, 112, 114","[""SAENZ PEÑA, MZ. R LT. 7 BARRIO CERCADO MZ. 108, 110, 112, 114"", ""SAENZ PEÑA, MZ. R LT. 7 BARRIO CERCADO MZ. 108, 110, 112, 114, HUANTA""]"
20495648215,INVERSIONES BALORA S.A.C.,CALIFORNIA,,002263,120683005,2027-06-01,169.0,334.0,,Av. BALTA No. 240-B,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,Av. BALTA No. 240-B,"AVENIDA. BALTA NO. 240, B","[""AVENIDA. BALTA NO. 240, B"", ""AVENIDA. BALTA NO. 240, B, MOQUEGUA""]"
20495648215,INVERSIONES BALORA S.A.C.,TGM ATLANTIS,,003054-2023,120683002,2027-07-18,102.0,226.0,,Jr. 2 DE MAYO No. 444,CAJAMARCA,CAJAMARCA,CAJAMARCA,Jr. 2 DE MAYO No. 444,JIRON. 2 DE MAYO NO. 444,"[""JIRON. 2 DE MAYO NO. 444"", ""JIRON. 2 DE MAYO NO. 444, CAJAMARCA""]"
20513937327,INVERSIONES BARRA VELHA S.A.C.,TRAGAMONEDAS KIYA,HOTEL ***,006739-2024,110778001,2029-11-05,49.0,186.0,,Av. GIRALDEZ No. 109,HUANCAYO,HUANCAYO,JUNÍN,Av. GIRALDEZ No. 109,AVENIDA. GIRALDEZ NO. 109,"[""AVENIDA. GIRALDEZ NO. 109"", ""AVENIDA. GIRALDEZ NO. 109, HUANCAYO""]"
20606320788,INVERSIONES BORA BORA SAC,DUBAI,REST. 5TT,001055,112404001,,166.0,440.0,,Jr. MORONA No. 182,IQUITOS,MAYNAS,LORETO,Jr. MORONA No. 182,JIRON. MORONA NO. 182,"[""JIRON. MORONA NO. 182"", ""JIRON. MORONA NO. 182, IQUITOS""]"
20397684700,INVERSIONES COSTA NORTE S.C.R.L.,FARAON DE JULIACA,,005166,120825001,2027-11-30,56.0,166.0,,SAN ROMÁN No. 248,JULIACA,SAN ROMÁN,PUNO,SAN ROMÁN No. 248,SAN ROMÁN NO. 248,"[""SAN ROMÁN NO. 248"", ""SAN ROMÁN NO. 248, JULIACA""]"
20549949828,INVERSIONES DIVERSAS GALYAC S.A.C.,LA EMPERATRIZ,REST. 5TT,005690,111690001,2027-12-29,54.0,98.0,,Jr. REAL No. 511,MALA,CAÑETE,LIMA,Jr. REAL No. 511,JIRON. REAL NO. 511,"[""JIRON. REAL NO. 511"", ""JIRON. REAL NO. 511, MALA""]"
20172013521,INVERSIONES DREAM S.A.,BINGO GARDEN,,51 - 2026,120042001,2030-01-09,218.0,525.0,,Otro CONJUNTO RESIDENCIAL S.FELIPE-TIENDA 67-D (CENTRO COMERCIAL) Int. 76 - 77 - 78 - 79,JESÚS MARÍA,LIMA,LIMA,Otro CONJUNTO RESIDENCIAL S.FELIPE-TIENDA 67-D (CENTRO COMERCIAL) Int. 76 - 77 - 78 - 79,"CONJUNTO RESIDENCIAL S.FELIPE, TIENDA 67, D (CENTRO COMERCIAL) INT. 76, 77, 78, 79","[""CONJUNTO RESIDENCIAL S.FELIPE, TIENDA 67, D (CENTRO COMERCIAL) INT. 76, 77, 78, 79"", ""CONJUNTO RESIDENCIAL S.FELIPE, TIENDA 67, D (CENTRO COMERCIAL) INT. 76, 77, 78, 79, JESÚS MARÍA""]"
20495742238,INVERSIONES EL SOL S.A.C.,CASINO REAL MOCHE,REST. 5TT,001600,110774002,2028-04-25,66.0,218.0,,Av. 28 DE JULIO INT. 101 No. 100,PACASMAYO,PACASMAYO,LA LIBERTAD,Av. 28 DE JULIO INT. 101 No. 100,AVENIDA. 28 DE JULIO INT. 101 NO. 100,"[""AVENIDA. 28 DE JULIO INT. 101 NO. 100"", ""AVENIDA. 28 DE JULIO INT. 101 NO. 100, PACASMAYO""]"
20495742238,INVERSIONES EL SOL S.A.C.,PAKATNAMU,REST. 5TT,001199,110774001,2027-06-25,85.0,218.0,,Calle LEONCIO PRADO No. 36,PACASMAYO,PACASMAYO,LA LIBERTAD,Calle LEONCIO PRADO No. 36,CALLE LEONCIO PRADO NO. 36,"[""CALLE LEONCIO PRADO NO. 36"", ""CALLE LEONCIO PRADO NO. 36, PACASMAYO""]"
20495742238,INVERSIONES EL SOL S.A.C.,TRAGAMONEDAS ATLANTIS,,000066-2024,140774004,2029-01-11,53.0,154.0,,Plaza PLAZA DE ARMAS No. 192,GUADALUPE,PACASMAYO,LA LIBERTAD,Plaza PLAZA DE ARMAS No. 192,PLAZA PLAZA DE ARMAS NO. 192,"[""PLAZA PLAZA DE ARMAS NO. 192"", ""PLAZA PLAZA DE ARMAS NO. 192, GUADALUPE""]"
20608119010,INVERSIONES ESTE OESTE S.A.C.,SALA GRAND PALACE,REST. 5TT,005135-2023,112480001,2028-11-29,150.0,385.0,,Av. EJERCITO Nro 607 Lt. A,YANAHUARA,AREQUIPA,AREQUIPA,Av. EJERCITO Nro 607 Lt. A,AVENIDA. EJERCITO NO. 607 LT. A,"[""AVENIDA. EJERCITO NO. 607 LT. A"", ""AVENIDA. EJERCITO NO. 607 LT. A, YANAHUARA""]"
20603656041,INVERSIONES ESTRELLA VILLA RICA SAC,VILLA ESTRELLA,HOTEL ***,261 - 2026,112276002,2030-01-27,50.0,111.0,,Jr. MARCOS CANEPA No. 393,VILLA RICA,OXAPAMPA,PASCO,Jr. MARCOS CANEPA No. 393,JIRON. MARCOS CANEPA NO. 393,"[""JIRON. MARCOS CANEPA NO. 393"", ""JIRON. MARCOS CANEPA NO. 393, VILLA RICA""]"
20600573544,INVERSIONES FANTASY NYT S.A.C.,FANTASY FORTUNA,REST. 5TT,002711-2023,111963001,2027-06-29,45.0,112.0,,Av. CIRCUNVALACION MZ. B Lt. 2,PICHANAQUI,CHANCHAMAYO,JUNÍN,Av. CIRCUNVALACION MZ. B Lt. 2,AVENIDA. CIRCUNVALACION MZ. B LT. 2,"[""AVENIDA. CIRCUNVALACION MZ. B LT. 2"", ""AVENIDA. CIRCUNVALACION MZ. B LT. 2, PICHANAQUI""]"
20612374024,INVERSIONES GAMAZA S.A.C.,TRAGAMONEDAS AMAZON,REST. 5TT,6290 - 2024,112631001,2029-10-17,120.0,211.0,,Av. ELIAS AGUIRRE No. 793,IQUITOS,MAYNAS,LORETO,Av. ELIAS AGUIRRE No. 793,AVENIDA. ELIAS AGUIRRE NO. 793,"[""AVENIDA. ELIAS AGUIRRE NO. 793"", ""AVENIDA. ELIAS AGUIRRE NO. 793, IQUITOS""]"
20547941421,INVERSIONES GAMING ALELI S.A.C.,DOLPHIN,,3814,141588003,2026-12-01,75.0,179.0,,DANTE No. 869,SURQUILLO,LIMA,LIMA,DANTE No. 869,DANTE NO. 869,"[""DANTE NO. 869"", ""DANTE NO. 869, SURQUILLO""]"
20486133733,INVERSIONES GESTIONES Y SERVICIOS J & B S.C.R.L.,BLUE SKY II,REST. 5TT,004854,110792004,2027-11-09,85.0,216.0,,"Av. JOSE CARLOS MARIATEGUI MZ. I LOTE 07, 1RA ETAPA DE LA COOPERATIVA DE VIVIENDA DE HUANCAYO No. 2493",EL AGUSTINO,LIMA,LIMA,"Av. JOSE CARLOS MARIATEGUI MZ. I LOTE 07, 1RA ETAPA DE LA COOPERATIVA DE VIVIENDA DE HUANCAYO No. 2493","AVENIDA. JOSE CARLOS MARIATEGUI MZ. I LOTE 07, 1RA ETAPA DE LA COOPERATIVA DE VIVIENDA DE HUANCAYO NO. 2493","[""AVENIDA. JOSE CARLOS MARIATEGUI MZ. I LOTE 07, 1RA ETAPA DE LA COOPERATIVA DE VIVIENDA DE HUANCAYO NO. 2493"", ""AVENIDA. JOSE CARLOS MARIATEGUI MZ. I LOTE 07, 1RA ETAPA DE LA COOPERATIVA DE VIVIENDA DE HUANCAYO NO. 2493, EL AGUSTINO""]"
20486133733,INVERSIONES GESTIONES Y SERVICIOS J & B S.C.R.L.,PARADISE,REST. 5TT,000721,110792005,2027-02-24,45.0,78.0,,Jr. CORONEL GUERRA No. 110 - 112,CHUPACA,CHUPACA,JUNÍN,Jr. CORONEL GUERRA No. 110 - 112,"JIRON. CORONEL GUERRA NO. 110, 112","[""JIRON. CORONEL GUERRA NO. 110, 112"", ""JIRON. CORONEL GUERRA NO. 110, 112, CHUPACA""]"
20529385383,INVERSIONES GRIMFIL S.A.C.,EL GRAN LLAMADIN,HOTEL ***,35 - 2026,112652001,2031-01-07,27.0,73.0,,Jr. JOSE GALVEZ No. 408,CELENDÍN,CELENDÍN,CAJAMARCA,Jr. JOSE GALVEZ No. 408,JIRON. JOSE GALVEZ NO. 408,"[""JIRON. JOSE GALVEZ NO. 408"", ""JIRON. JOSE GALVEZ NO. 408, CELENDÍN""]"
20607971260,INVERSIONES GROUP GAMING S.A.C.,CAMBOYA,REST. 5TT,002266,132424003,2027-08-03,59.0,99.0,,"Av. TUPAC AMARU 6045, MZ. Q LT. 28 No. 6045",COMAS,LIMA,LIMA,"Av. TUPAC AMARU 6045, MZ. Q LT. 28 No. 6045","AVENIDA. TUPAC AMARU 6045, MZ. Q LT. 28 NO. 6045","[""AVENIDA. TUPAC AMARU 6045, MZ. Q LT. 28 NO. 6045"", ""AVENIDA. TUPAC AMARU 6045, MZ. Q LT. 28 NO. 6045, COMAS""]"
20608568205,INVERSIONES HOLDING CLUB S.A.C.,EL ENKANTO DE ORO,REST. 5TT,4474,112450001,2028-10-16,51.0,205.0,,Av. Tomas Valle Mz. C,SAN MARTÍN DE PORRES,LIMA,LIMA,Av. Tomas Valle Mz. C,AVENIDA. TOMAS VALLE MZ. C,"[""AVENIDA. TOMAS VALLE MZ. C"", ""AVENIDA. TOMAS VALLE MZ. C, SAN MARTÍN DE PORRES""]"
20514397598,INVERSIONES JOSWEND S.A.C.,MR. CASH,,1496 - 2024,140765001,2028-03-27,55.0,153.0,,Jr. PROVEEDORES UNIDOS No. 173,BREÑA,LIMA,LIMA,Jr. PROVEEDORES UNIDOS No. 173,JIRON. PROVEEDORES UNIDOS NO. 173,"[""JIRON. PROVEEDORES UNIDOS NO. 173"", ""JIRON. PROVEEDORES UNIDOS NO. 173, BREÑA""]"
20600637755,INVERSIONES KAMIYA S.A.C.,COLMENA,,002271,141956001,2027-06-02,73.0,142.0,,Av. NICOLAS DE PIEROLA No. 840 - 844,LIMA,LIMA,LIMA,Av. NICOLAS DE PIEROLA No. 840 - 844,"AVENIDA. NICOLAS DE PIEROLA NO. 840, 844","[""AVENIDA. NICOLAS DE PIEROLA NO. 840, 844"", ""AVENIDA. NICOLAS DE PIEROLA NO. 840, 844, LIMA""]"
20494554021,INVERSIONES KATOKI S.A.C.,TRAGAMONEDAS GOTHIKA,HOTEL ***,003953-2024,111261001,2028-07-16,90.0,273.0,,Av. SAN MARTIN No. 123 - 127,PISCO,PISCO,ICA,Av. SAN MARTIN No. 123 - 127,"AVENIDA. SAN MARTIN NO. 123, 127","[""AVENIDA. SAN MARTIN NO. 123, 127"", ""AVENIDA. SAN MARTIN NO. 123, 127, PISCO""]"
20524616425,INVERSIONES KUAN S.A.C.,KINGSTON,REST. 5TT,8102 - 2025,111301001,2029-10-29,60.0,176.0,,VENEZUELA No. 1030,BREÑA,LIMA,LIMA,VENEZUELA No. 1030,VENEZUELA NO. 1030,"[""VENEZUELA NO. 1030"", ""VENEZUELA NO. 1030, BREÑA""]"
20391198897,INVERSIONES KYODO S.A.C.,EMPORIUM,,4612 - 2025,120049001,2029-07-01,243.0,766.0,,Calle UCELLO No. 200,SAN BORJA,LIMA,LIMA,Calle UCELLO No. 200,CALLE UCELLO NO. 200,"[""CALLE UCELLO NO. 200"", ""CALLE UCELLO NO. 200, SAN BORJA""]"
